 Stress  Time  Transport     Total         MNW   Layer  Row Column  Average
 Period  Step    Step     Elapsed Time    Group   [K]   [I]  [J]     Conc.     
    1     97       9     0.5961748E+08       1     1    51    51   0.4099389    
    1     97      10     0.5972290E+08       1     1    51    51   0.4066591    
    1     97      11     0.5983886E+08       1     1    51    51   0.4030890    
    1     97      12     0.5996642E+08       1     1    51    51   0.3992061    
    1     97      13     0.6000000E+08       1     1    51    51   0.3981871    
    1     97      14     0.6015435E+08       1     1    51    51   0.3935650    
    1     97      15     0.6032413E+08       1     1    51    51   0.3885546    
    1     97      16     0.6051089E+08       1     1    51    51   0.3831298    
    1     97      17     0.6071633E+08       1     1    51    51   0.3772651    
    1     97      18     0.6094231E+08       1     1    51    51   0.3709351    
    1     97      19     0.6119089E+08       1     1    51    51   0.3641154    
    1     97      20     0.6146432E+08       1     1    51    51   0.3567824    
    1     97      21     0.6176510E+08       1     1    51    51   0.3489146    
    1     97      22     0.6209596E+08       1     1    51    51   0.3404932    
    1     97      23     0.6245990E+08       1     1    51    51   0.3315027    
    1     97      24     0.6286024E+08       1     1    51    51   0.3219315    
    1     97      25     0.6330061E+08       1     1    51    51   0.3117735    
    1     97      26     0.6378502E+08       1     1    51    51   0.3010293    
    1     97      27     0.6431787E+08       1     1    51    51   0.2897060    
    1     97      28     0.6490400E+08       1     1    51    51   0.2778210    
    1     97      29     0.6491202E+08       1     1    51    51   0.2776592    
    1     98       1     0.6495672E+08       1     1    51    51   0.2771072    
    1     98       2     0.6500588E+08       1     1    51    51   0.2761756    
    1     98       3     0.6505995E+08       1     1    51    51   0.2751230    
    1     98       4     0.6511944E+08       1     1    51    51   0.2739593    
    1     98       5     0.6518487E+08       1     1    51    51   0.2726787    
    1     98       6     0.6525684E+08       1     1    51    51   0.2712732    
    1     98       7     0.6533602E+08       1     1    51    51   0.2697334    
    1     98       8     0.6542311E+08       1     1    51    51   0.2680489    
    1     98       9     0.6551891E+08       1     1    51    51   0.2662080    
    1     98      10     0.6562429E+08       1     1    51    51   0.2641985    
    1     98      11     0.6574021E+08       1     1    51    51   0.2620073    
    1     98      12     0.6586772E+08       1     1    51    51   0.2596206    
    1     98      13     0.6600798E+08       1     1    51    51   0.2570237    
    1     98      14     0.6616227E+08       1     1    51    51   0.2542014    
    1     98      15     0.6633199E+08       1     1    51    51   0.2511378    
    1     98      16     0.6651868E+08       1     1    51    51   0.2478171    
    1     98      17     0.6672403E+08       1     1    51    51   0.2442230    
    1     98      18     0.6694992E+08       1     1    51    51   0.2403391    
    1     98      19     0.6719841E+08       1     1    51    51   0.2361493    
    1     98      20     0.6747174E+08       1     1    51    51   0.2316384    
    1     98      21     0.6777240E+08       1     1    51    51   0.2267917    
    1     98      22     0.6810313E+08       1     1    51    51   0.2215961    
    1     98      23     0.6846693E+08       1     1    51    51   0.2160404    
    1     98      24     0.6886711E+08       1     1    51    51   0.2101157    
    1     98      25     0.6930731E+08       1     1    51    51   0.2038160    
    1     98      26     0.6979154E+08       1     1    51    51   0.1971389    
    1     98      27     0.7032418E+08       1     1    51    51   0.1900864    
    1     98      28     0.7091009E+08       1     1    51    51   0.1826658    
    1     98      29     0.7140386E+08       1     1    51    51   0.1766456    
    1     99       1     0.7144855E+08       1     1    51    51   0.1760960    
    1     99       2     0.7149771E+08       1     1    51    51   0.1755012    
    1     99       3     0.7155179E+08       1     1    51    51   0.1748498    
    1     99       4     0.7161128E+08       1     1    51    51   0.1741369    
    1     99       5     0.7167671E+08       1     1    51    51   0.1733567    
    1     99       6     0.7174869E+08       1     1    51    51   0.1725034    
    1     99       7     0.7182786E+08       1     1    51    51   0.1715706    
    1     99       8     0.7191496E+08       1     1    51    51   0.1705515    
    1     99       9     0.7201076E+08       1     1    51    51   0.1694386    
    1     99      10     0.7211614E+08       1     1    51    51   0.1682243    
    1     99      11     0.7223206E+08       1     1    51    51   0.1669002    
    1     99      12     0.7235958E+08       1     1    51    51   0.1654578    
    1     99      13     0.7249984E+08       1     1    51    51   0.1638879    
    1     99      14     0.7265413E+08       1     1    51    51   0.1621810    
    1     99      15     0.7282385E+08       1     1    51    51   0.1603272    
    1     99      16     0.7301054E+08       1     1    51    51   0.1583170    
    1     99      17     0.7321590E+08       1     1    51    51   0.1561392    
    1     99      18     0.7344180E+08       1     1    51    51   0.1537838    
    1     99      19     0.7369029E+08       1     1    51    51   0.1512405    
    1     99      20     0.7396362E+08       1     1    51    51   0.1484993    
    1     99      21     0.7426430E+08       1     1    51    51   0.1455505    
    1     99      22     0.7459503E+08       1     1    51    51   0.1423852    
    1     99      23     0.7495884E+08       1     1    51    51   0.1389955    
    1     99      24     0.7535903E+08       1     1    51    51   0.1353751    
    1     99      25     0.7579925E+08       1     1    51    51   0.1315187    
    1     99      26     0.7628348E+08       1     1    51    51   0.1274235    
    1     99      27     0.7681614E+08       1     1    51    51   0.1230892    
    1     99      28     0.7740206E+08       1     1    51    51   0.1185183    
    1     99      29     0.7804657E+08       1     1    51    51   0.1137170    
    1     99      30     0.7854487E+08       1     1    51    51   0.1101391    
    1    100       1     0.7858958E+08       1     1    51    51   0.1097858    
    1    100       2     0.7863877E+08       1     1    51    51   0.1094331    
    1    100       3     0.7869287E+08       1     1    51    51   0.1090476    
    1    100       4     0.7875238E+08       1     1    51    51   0.1086258    
    1    100       5     0.7881785E+08       1     1    51    51   0.1081645    
    1    100       6     0.7888986E+08       1     1    51    51   0.1076602    
    1    100       7     0.7896906E+08       1     1    51    51   0.1071089    
    1    100       8     0.7905620E+08       1     1    51    51   0.1065067    
    1    100       9     0.7915205E+08       1     1    51    51   0.1058489    
    1    100      10     0.7925748E+08       1     1    51    51   0.1051311    
    1    100      11     0.7937346E+08       1     1    51    51   0.1043481    
    1    100      12     0.7950102E+08       1     1    51    51   0.1034947    
    1    100      13     0.7964135E+08       1     1    51    51   0.1025655    
    1    100      14     0.7979571E+08       1     1    51    51   0.1015545    
    1    100      15     0.7996551E+08       1     1    51    51   0.1004559    
    1    100      16     0.8015229E+08       1     1    51    51   0.9926333E-01
    1    100      17     0.8035774E+08       1     1    51    51   0.9797052E-01
    1    100      18     0.8058374E+08       1     1    51    51   0.9657089E-01
    1    100      19     0.8083234E+08       1     1    51    51   0.9505869E-01
    1    100      20     0.8110581E+08       1     1    51    51   0.9342653E-01
    1    100      21     0.8140662E+08       1     1    51    51   0.9166864E-01
    1    100      22     0.8173750E+08       1     1    51    51   0.8977914E-01
    1    100      23     0.8210148E+08       1     1    51    51   0.8775266E-01
    1    100      24     0.8250186E+08       1     1    51    51   0.8558467E-01
    1    100      25     0.8294226E+08       1     1    51    51   0.8327173E-01
    1    100      26     0.8342672E+08       1     1    51    51   0.8081079E-01
    1    100      27     0.8395962E+08       1     1    51    51   0.7820076E-01
    1    100      28     0.8454581E+08       1     1    51    51   0.7544213E-01
    1    100      29     0.8519062E+08       1     1    51    51   0.7253723E-01
    1    100      30     0.8589990E+08       1     1    51    51   0.6949151E-01
    1    100      31     0.8639999E+08       1     1    51    51   0.6741910E-01
